add.POSIXct,viz_owner_repo,video,source,title
2026-03-23T12:16:23.616368Z,Vatsal-Rajput/BrownianMotion,,https://github.com/Vatsal-Rajput/Animint2Test,Demonstration of Brownian Motion
2026-03-23T12:16:23.616368Z,busttech/deploy2,,https://github.com/busttech/Test-solutions-of-animint/blob/main/Medium-test-solution/main.r,Probability in Flipping Coins
2026-03-23T12:16:23.616368Z,Aryan-SINGH-GIT/knn-animint,,https://github.com/Aryan-SINGH-GIT/animated-interactive-ggplots/blob/master/02_animint2_interactions/knn_animint.R,k-Nearest Neighbours Classification
2026-03-23T12:16:23.616368Z,AviraL0013/least-squares-animint,,https://github.com/AviraL0013/least-squares-animint/blob/main/source/least_squares_animint.R,Least Squares Method
2026-03-23T12:16:23.616368Z,ANAMASGARD/conf-int-animint,,https://github.com/ANAMASGARD/conf-int-animint/blob/main/conf_int_viz.R,Demonstration of Confidence Intervals
2026-03-23T12:16:23.616368Z,ANAMASGARD/boot-iid-animint,,https://github.com/ANAMASGARD/boot-iid-animint/blob/main/boot_iid_viz.R,Bootstrap i.i.d. Demo
2026-03-23T12:16:23.616368Z,ANAMASGARD/cv-ani-animint,,https://github.com/ANAMASGARD/cv-ani-animint/blob/main/cv_ani_viz.R,Demonstration of k-Fold Cross Validation
2026-03-23T12:16:23.616368Z,NandaniAggarwal/boot.iid_animation_R,,https://github.com/NandaniAggarwal/animint_R/blob/main/bootid.R,Bootstrapping i.i.d. Data Port
2026-03-23T12:16:23.616368Z,NandaniAggarwal/boot.lowess_animations_R,,https://github.com/NandaniAggarwal/animint_R/blob/main/bootlowess.R,Bootstrapping LOWESS Port
2026-03-23T12:16:23.616368Z,Nishita-shah1/bisection-animint,,https://github.com/Nishita-shah1/bisection-animint/blob/main/bisection_animint.R,Bisection Method
